424,712,438,645,277,300,347,531,341,226,227,572,637,428,868,375,441,349,404,1115
617,225,884,228,366,734,728,475,1542,684,867,322,345,368,634,726,287,213,1410,674
275,684,270,234,360,475,314,260,968,1485,312,885,290,221,525,1344,304,534,465,350
237,360,452,338,232,884,553,356,218,239,928,744,319,825,733,205,253,483,364,456
283,275,2528,740,311,295,733,480,285,667,253,473,1282,1742,210,371,338,501,685,212
526,515,630,400,442,603,1144,224,547,277,376,310,282,614,2528,459,525,263,417,256
219,315,458,250,324,528,882,1342,424,281,327,478,892,455,944,852,247,1062,211,667
262,281,433,1115,333,683,312,280,293,1167,247,527,366,451,336,767,468,204,367,528
274,317,308,216,249,744,284,263,489,511,528,715,531,208,231,484,645,283,246,244
478,662,1068,1528,230,237,430,728,222,261,376,307,293,216,722,658,852,219,495,380
715,2928,237,241,817,725,263,206,574,528,934,2728,451,510,323,247,224,339,492,216
213,377,501,524,1210,865,238,641,480,481,1010,306,471,1115,346,242,288,1344,1167,459
219,940,701,347,473,1062,206,413,375,1728,440,210,455,373,327,437,492,435,366,328
1115,282,373,207,825,641,255,767,1342,307,441,234,685,555,522,499,430,364,240,405
227,968,309,624,496,726,207,442,327,1282,1328,1342,665,297,275,298,430,579,337,655
433,728,244,313,224,1282,348,511,2328,217,380,804,459,666,639,432,634,519,535,466
324,915,639,825,645,852,637,274,803,451,528,630,245,256,234,1062,305,466,742,306
309,1328,744,328,371,250,344,298,885,540,232,324,892,501,683,545,726,235,967,249
491,432,463,378,290,318,604,412,944,277,1410,354,377,373,327,312,634,220,345,644
511,299,276,368,356,604,481,330,682,372,349,303,501,528,298,417,210,249,226,456
475,652,231,1128,510,349,439,862,241,540,522,603,281,572,733,480,204,685,275,213
297,232,277,254,337,728,229,275,432,540,333,740,1062,276,375,353,684,302,1210,658
280,862,284,353,213,1928,342,271,942,336,359,291,1282,377,674,1140,404,274,228,967
370,614,517,405,2928,329,868,369,337,728,468,974,376,481,459,305,478,271,515,1104
324,885,256,624,415,652,1104,372,405,662,501,317,320,803,247,868,410,426,357,817
269,540,336,534,630,684,671,378,347,232,692,600,226,452,360,652,254,369,622,944
356,259,208,300,1728,314,291,285,428,1144,725,357,296,434,667,600,370,422,330,928
208,309,225,339,336,451,370,310,434,236,341,436,312,1728,281,545,422,744,974,219
265,214,733,475,524,478,402,540,358,312,435,297,1342,868,400,630,278,531,370,695
438,480,217,456,291,604,289,868,1282,545,292,504,458,658,368,667,207,413,712,1342
235,285,722,515,613,225,237,545,434,641,422,238,2528,205,803,349,1210,313,495,2128
1528,613,318,944,437,207,466,634,504,684,339,262,353,892,402,264,242,610,380,211
335,243,641,800,424,1104,352,318,302,742,236,377,515,336,810,625,579,441,852,231
367,624,285,579,217,361,545,342,488,603,236,374,341,704,290,243,475,2928,278,767
334,263,638,825,336,305,351,322,230,400,446,1542,277,2928,711,665,228,235,304,350
307,298,1084,825,342,473,1065,691,527,504,636,470,644,276,226,236,213,259,351,568
262,2328,867,942,1928,437,253,231,926,244,280,1085,1065,270,320,274,634,243,218,356
279,411,742,305,501,541,260,331,701,310,333,245,652,1342,451,2328,488,734,205,435
356,358,725,652,215,204,309,263,286,224,638,323,665,458,740,294,317,532,279,233
432,223,204,414,1115,530,691,233,332,331,630,366,456,817,265,403,337,1085,326,512
882,515,246,2728,212,369,275,229,625,432,1084,256,402,636,567,217,205,450,335,266
273,379,867,892,300,1062,1210,276,463,400,308,492,249,304,263,884,1344,278,238,928
228,515,213,282,541,288,426,283,1528,1084,279,422,370,462,459,574,275,1128,336,1285
974,968,436,572,704,722,216,240,217,294,534,488,373,343,274,1010,484,323,463,325
436,367,201,378,414,340,334,357,260,228,613,371,531,234,740,266,691,273,1285,434
526,744,288,817,426,316,237,433,379,236,279,1728,223,338,865,2728,354,446,504,222
359,968,492,1084,1144,655,568,683,441,326,305,535,478,340,341,804,459,528,1285,306
501,272,617,320,559,692,378,215,491,634,726,291,517,471,526,1082,668,441,308,377
233,224,247,301,332,825,411,306,318,1340,305,810,2328,402,333,413,202,225,519,473
203,405,329,466,884,510,636,1142,268,728,335,542,1167,504,274,246,361,294,445,468
311,942,515,825,480,512,466,1210,339,249,292,315,1485,404,231,944,553,310,333,214
510,800,804,1344,1084,410,232,1144,1282,683,292,733,825,704,484,1082,651,214,682,360
1328,517,333,433,272,495,328,441,804,345,667,1528,274,233,526,250,524,294,223,462
233,515,817,278,323,530,1062,280,341,456,926,299,534,339,455,473,338,261,412,527
465,281,636,774,422,642,1485,220,545,227,733,526,1328,369,231,691,530,210,302,443
426,668,944,2328,247,683,617,422,353,532,322,884,1068,309,332,359,1140,296,1065,283
420,203,288,244,440,348,473,1144,435,442,235,360,774,533,744,250,539,470,414,299
862,430,531,312,496,2528,224,279,463,532,882,468,744,405,359,511,2328,277,420,322
692,1285,204,967,904,884,445,317,475,230,430,1928,311,510,316,942,436,428,658,1210
366,967,445,533,377,331,378,666,229,207,335,940,2128,311,1210,728,774,246,292,1728
297,243,227,484,229,370,294,248,271,547,360,568,361,233,256,216,377,211,234,336
928,272,229,522,825,273,326,435,534,404,515,800,662,684,868,224,290,512,926,374
360,210,345,368,441,634,701,379,2128,652,1342,451,286,332,528,275,712,512,223,292
862,568,572,1285,319,324,438,489,610,541,481,915,501,275,229,413,2728,473,726,293
478,892,704,744,666,275,291,304,722,326,357,315,522,246,532,1728,333,1115,241,329
344,262,269,243,514,691,1082,622,442,534,297,803,210,470,294,451,267,359,405,862
1167,331,674,347,234,280,351,315,292,325,311,322,336,405,885,553,1542,459,252,275
430,510,410,373,304,348,519,483,1282,610,655,885,1210,1065,1285,630,768,422,892,712
282,308,258,865,517,885,343,458,662,348,324,411,434,268,544,404,275,332,349,740
400,371,433,1485,926,374,247,892,478,767,452,541,290,934,244,344,252,227,361,223
489,270,722,740,456,226,288,404,450,1115,356,337,258,531,458,366,704,353,368,483
310,774,300,466,535,377,354,442,368,1104,455,340,868,638,355,1068,1010,968,462,347
288,276,915,974,491,651,233,424,1068,328,262,316,290,1115,525,433,212,235,291,527
658,250,434,441,533,349,942,1342,238,341,364,203,253,499,655,475,465,488,212,285
704,340,483,413,344,517,237,325,362,309,1528,208,334,1140,443,278,545,614,940,273
463,220,3128,444,375,254,1142,274,527,481,1528,236,328,604,436,275,495,524,202,885
436,263,309,1342,668,250,444,478,742,496,266,354,728,451,865,525,287,362,201,534
252,1104,283,239,282,202,478,347,324,357,424,245,234,579,733,484,412,251,481,1115
452,317,232,301,214,241,456,239,216,320,665,343,365,319,514,1282,258,534,428,322
260,715,1344,226,272,371,208,691,489,236,667,942,740,357,311,545,430,202,488,695
285,211,375,415,277,265,288,202,370,278,230,3128,322,343,527,532,348,420,305,535
614,1328,442,645,277,441,267,290,711,722,471,287,264,974,215,330,574,459,329,306
366,315,768,496,241,235,725,337,260,684,691,277,326,740,276,482,252,229,298,367
292,437,377,279,233,267,474,944,465,234,531,439,715,1742,1144,334,403,817,357,272
304,534,202,501,227,742,481,412,297,206,413,482,510,774,636,291,728,246,614,338
321,233,371,328,545,644,341,271,2528,711,967,852,701,379,376,692,600,450,335,496
728,296,241,303,326,528,603,258,354,311,282,742,443,1140,359,539,263,207,300,691
803,356,1144,235,2128,456,1928,1085,740,432,315,361,446,262,496,668,208,852,553,254
934,803,254,231,726,372,379,942,219,318,456,617,1728,204,974,360,314,511,304,350
451,439,733,1344,266,417,325,200,315,524,328,567,354,229,275,297,311,725,1104,368
252,433,410,366,539,216,526,319,572,290,658,248,380,610,210,302,324,484,254,299
511,685,250,346,624,356,1115,295,226,446,237,499,491,1342,528,358,726,3128,207,201
